Restaurant,Reviewer,Review,Rating,Metadata,Time,Pictures,7514
Beyond Flavours,Rusha Chakraborty,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.",5,"1 Review , 2 Followers",5/25/2019 15:54,0,2447
Beyond Flavours,Anusha Tirumalaneedi,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,5,"3 Reviews , 2 Followers",5/25/2019 14:20,0,
Beyond Flavours,Ashok Shekhawat,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,5,"2 Reviews , 3 Followers",5/24/2019 22:54,0,
Beyond Flavours,Swapnil Sarkar,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",5,"1 Review , 1 Follower",5/24/2019 22:11,0,
Beyond Flavours,Dileep,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,5,"3 Reviews , 2 Followers",5/24/2019 21:37,0,
Beyond Flavours,Nagabhavani K,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",5,1 Review,5/24/2019 15:22,0,
Beyond Flavours,Jamuna Bhuwalka,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",5,1 Review,5/24/2019 1:02,0,
Beyond Flavours,Sandhya S,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,4,1 Review,5/23/2019 15:01,0,
Beyond Flavours,Akash Thorat,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",5,"1 Review , 1 Follower",5/22/2019 23:12,0,
Beyond Flavours,Smarak Patnaik,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",5,"1 Review , 1 Follower",5/22/2019 22:37,0,
Beyond Flavours,Saubhagya Bhuyan,The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,5,"1 Review , 1 Follower",5/22/2019 22:22,0,
Beyond Flavours,Srivaths07,"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",5,"3 Reviews , 1 Follower",5/22/2019 21:43,0,
Beyond Flavours,Kunj Mishra,Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,5,"1 Review , 1 Follower",5/22/2019 21:29,0,
Beyond Flavours,Pradeep Vetapalem,Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,5,"2 Reviews , 25 Followers",5/22/2019 21:21,0,
Beyond Flavours,Kankaria.ritu,"We ordered corn cheese balls, manchow soup and paneer shashlik sizzler. The sizzler was stale. Paneer was smelling and the waiter was so impolite to even accept the mistake. Never going again",1,1 Review,5/22/2019 21:19,0,
Beyond Flavours,Abhay Sharma,Food and ambience is fantastic.. Waiter Manav Maji was really quick in his service.. Cheese Balls is a must try starter as it was very scrumptious,5,"4 Reviews , 7 Followers",5/22/2019 20:38,0,
Beyond Flavours,Shubham Jaiswal,"Came here for lunch and the food was good and tasty. We tried buffet and all the items in veg and non-veg were tasty.

The ambience and service were also good, and the staff were courteous.

shubhamtraveltales.wordpress.com",4,"30 Reviews , 34 Followers",5/22/2019 19:54,8,
Beyond Flavours,Srijani Mukherjee,The best thing about this place is the food. My favorite go to dish here is definitely Alfredo Pasta although other items are good as well. And the service and behavior of the staff is top-notch. We we're attended by Mr. Soumen Das and he was extremely polite. Will definitely visit soon.,5,"6 Reviews , 267 Followers",5/22/2019 19:47,1,
Beyond Flavours,Hari Jangam,Polite and friendly staff. Nice ambience and good spread of menu. Drinks are awesome. Service is very good by manav... looking forward to seeing it again...,5,"1 Review , 1 Follower",5/22/2019 15:13,0,
Beyond Flavours,Suneet Soni,"Food is really good. We had vegetarian items including paneer, mushroom and kofta. Additionally service from Papiya , Shuvro was really good.",5,"1 Review , 33 Followers",5/21/2019 22:08,0,
Beyond Flavours,Little Chef Chika,"Beautiful, cozy and classy at the same time, this place is truly recommended for your special days. With 15 percent corporate discounts, you can treat your cotorie well without burning a hole ur pocket. Also, the interior is done so well, you ll love the vibe. On the menu, honey chilli lotus stems, basket biryanis, sizzling brownies were my favourite. Also loved the tomato basil shorba, different from the creamy standards in other restaurants. I'm definitely making more visits to Beyond Flavours. Special mention to Papiya, our hostess for the evening, excellent service :)",5,"72 Reviews , 762 Followers",5/21/2019 22:06,0,
Beyond Flavours,Sneha Munigela,"please was good but it was quite expensive and coming to taste we can rate 3 out of 5, we cant click better pictures wen we visit in night🤣🤭best in day time for pics",4,"6 Reviews , 1 Follower",5/21/2019 20:17,1,
Beyond Flavours,Sneha Sarkar,Service was too good and fast. Even these people were so polite and well behaving. Manav and pradeep you were good. Hope everyone behaves the same way,4,"2 Reviews , 2 Followers",5/21/2019 10:53,0,
Beyond Flavours,Tony,"We had our farewell feast here recently enjoyed very well very good management so does the boys who gave complimentary food and made us more happy
Food was perfect desserts, starters was wonderful",5,"8 Reviews , 25 Followers",5/21/2019 5:43,0,
Beyond Flavours,Amritap Datta,"Excellent experience, mouthwatering food, good ambience, a must go place in hyderabad. We were served by Shubhro and Papiya. They were awesome in their behaviour. Had an enjoyable evening with friends.",5,1 Review,5/20/2019 23:33,0,
Beyond Flavours,Imteja7,The place is very good.. 5* to the live music.. She is just superb with beautiful voice.. Food is nice n loved the lightning..😍entrance is also very nice..,5,3 Reviews,5/20/2019 14:17,0,
Beyond Flavours,Nisha Gahlawat,"Sonalin has a great voice.. 😍 must visit the place once.. became fan of her. The food is good.. 5 star from my side. Live music, lightening everything is just awesome 😍",5,"2 Reviews , 1 Follower",5/20/2019 12:45,0,
Beyond Flavours,Dharini Hombal,I heard her voice..she is too beautiful with amazing voice ..just love her voice the way she sings 😍 became fan of Sonalin Priyadarshini. Good place must visit. The food is also nice..,5,"1 Review , 26 Followers",5/20/2019 12:30,0,
Beyond Flavours,Ankita Sinha,Sonalin is a very good singer in the city.. beautiful face with beautiful face must visit this place .. Beautiful live music.. loved it.. 😍 loved the food as well. Very good lightning.,5,"9 Reviews , 5 Followers",5/20/2019 12:25,0,
Beyond Flavours,Ppck2412,"Food is descent enough. Desert options were also good
Starrers were also tasty.
One bad experience ee had is waiting time even though we booked table prior time.",4,"3 Reviews , 3 Followers",5/20/2019 12:11,0,
Beyond Flavours,Pragya Sarda,"Short review: Decent breads and starters, bad Shaam Savera, a little screwed up daal makhni (but should be a one-off case)
Better ambience at night... And importantly good quantity!
I wanted to give a 2.5 but that's not an option 🙈
Extensive...
Ambience: It's better at night. Friends who had been here during the day didn't like it much. So if you prefer ambience, go at night!
Food! Ordered a Hara Bhara Kebab, Shaam Savera, Daal Makhni, rotis and raita (Yes! I'm a vegetarian 🙈)
The good part! Quantity 😍
I was excited to see Shaam Savera on their menu. But take it from me, you do not want to order it. It is no where close to what it should be. They messed it up real bad, especially the colors.
The daal makhni had big chunks of garlic cloves which spoiled it for me. It wasn't creamy too :(
The breads and raita were decent!
The Hara Bhara Kebabs were decent too, soft! They had an extra outer coating of peanuts. So if you're not a peanut fan on your kebabs, ask them to skip that step 🙈
Conclusion: It looked like they had made food in a hurry.
Would like to give this place another try hoping that mine was one of the odd cases. If things change, you'll know!",3,"9 Reviews , 8 Followers",5/20/2019 0:35,0,
Beyond Flavours,Anindya,"Excellent food and very good service by soumen das..
Ambience was good too with live music. Food was served timely. Decor of the restaurant was amazing as well.",5,"1 Review , 1 Follower",5/19/2019 22:57,0,
Beyond Flavours,Santhosh Reddyy,My review for this place would be 5star for the ambeince and the service from the staff which lacks in lot's of place even though the food is good in places like these. Special hey to papiya shuvro!,5,"3 Reviews , 1 Follower",5/19/2019 22:46,0,
Beyond Flavours,Piyali Mahapatra,"It was a very nice experience. Food was amazing. Friendly staff, with welcoming attitude. Papia was very friendly and accommodating. Good ambiance. I will definitely recommend this place.",5,"3 Reviews , 190 Followers",5/19/2019 22:32,0,
Beyond Flavours,Mehak Malhotra,"Had dinner with my friends. Menu is perfect, something for everyone. Service was awesome and Papia was very accommodating. Good ambience with amazing live music. Will be back definitely!",5,"6 Reviews , 10 Followers",5/19/2019 22:29,0,
Beyond Flavours,Pradeep Kumar Gupta,Service experience was very good especially by Papiya. Food served was very good and tasty and they served it very well. I would like to visit Beyond again and will recommend it to friends for its food and its reasonable price.,5,1 Review,5/19/2019 21:52,0,
Beyond Flavours,Shubham Singh Chauhan,"Service , Food and Ambiance was very nice. Staff was very humble while taking order and while serving food. Live music was like cherry on the cake",5,1 Review,5/19/2019 21:30,0,
Beyond Flavours,Prerna Mund,The food was ❤️.. We ordered banjara tangdi for starter which was the best among all.. Papiya Shuvro was well mannered and her service was best among all.,5,"2 Reviews , 8 Followers",5/19/2019 21:26,0,
Beyond Flavours,Pranith Patro,Staff are just polite and responsive. Food is the best part here. And it is better as ambience also awesome here. I met two persons here named Papiya and Shuvro who are the best at their services. Food items i liked here were Basket biryani and Kodi drum sticks. Finally just loved.,5,"2 Reviews , 39 Followers",5/18/2019 21:54,0,
Beyond Flavours,Sai Raj Kiran,"I came here with my parents. We ordered for Thai peneer tikka, kaju pulao and veg biryani. The kaju pulao and veg biryani were really good. This is a decent place to go with family. Shubro and papiya served well.",4,"2 Reviews , 1 Follower",5/18/2019 15:54,0,
Beyond Flavours,Razeen,Well we’re new to Hyderabad . And I can for a fact say that it’s probably the best place I’ve eaten a buffet at in Hyderabad period . Especially id like to thank Shurvo and Papiya for their amazing service . Double metha was just too good . Overall a worthwhile experience,5,5 Reviews,5/18/2019 15:53,1,
Beyond Flavours,Prasanna,"Wonderful place with awesome ambience, best to visit at night to see all the pretty lights and to enjoy some savory foods. Shubro and Papiya were good with service.",5,1 Review,5/18/2019 15:18,0,
Beyond Flavours,Jeevith Reddy,"Good ambience and great service.We've had buffet for 25 people.The waiters were patient and we even got noodles replaced since the one served in the buffet went bad.
Shoutout to Shubro and Pradeep ,took care of our entire Afternoon.",4,"4 Reviews , 2 Followers",5/18/2019 15:06,0,
Beyond Flavours,Sugandha Saxena,"My review of the place comes after multiple visits, that have spanned over 4 months. And now I can safely say that it's one of the good places around.
They're located near the Biodiversity signal, above Fabindia. There's ample parking for both two and four wheelers. The ambience is a bit dim after dark, and the seating is divided into various options, including a PDR section.
The menu design is in the shape of a bottle, and the array spans Continental, Chinese and Indian cuisines. Here's the list of things that I have tried, across all my visits

Panko Crumbed Mozzarella Sticks ❤️ - Cheese sticks that are coated and fried. Pure cheese bliss.
Veg Lasagna ❤️ - This place has one of the good Lasagne in the town.
Crispy Chilli Corn Kernels - The usual favourite, this one has a slightly different presentation here.
Makhmali Paneer Tikka -
Cottage Cheese Shashlik Sizzler
Italian Nachos - Nachos topped with red sauce and cheese, and baked in the dish.
Cheese and Cheese Pizza ❤️ - Soft base pizza, loaded with cheese, and a few pieces of green olives.

I cannot stress enough on how I have loved all that I tried here. I have also tried out their lunch buffet. The variety may not be as elaborate as other places, but with the food quality and the discount that they offer for bulk bookings, it is at least a one-time try. But what I really adore here is their mocktails. Beyond Delight is an absolute delight! Also a fan of the Guava and Chilli, and Apple and Kiwi Night drinks.

The staff is ever so courteous. A special mention to Papiya and Shuvro, who were our attendants on the latest visit. The place has Zomato Gold 1+1, which further brings down their reasonable rates. A meal for two would roughly be around 700, that fills not only your tummy, but also you heart!",4,"150 Reviews , 2135 Followers",5/18/2019 14:53,7,
Beyond Flavours,Singh.ibm,Had lunch today at beyond flavors .The food was very Good and delicious and awesome service was provided by Soumen Das & Shuvro. Would highly recommend the restaurant .,5,"2 Reviews , 2 Followers",5/18/2019 14:48,0,
Beyond Flavours,Sind Hu,The reason for giving only a 3 star is because of the longlong time wait for the tables. We went on Friday afternoon. We waited almost more than 30mins to get a table. We lost our patience and left for another restaurant as v didn't get a table even aftr waiting for such a long time.I think restaurant management should take this into consideration and try to decrease the waiting time of customer.,3,"61 Reviews , 167 Followers",5/18/2019 14:16,0,
Beyond Flavours,Sameer Singh,"Service is really exceptional. Cheers to Manav, who served us really well. Food was nice too. Loved the ambience too, with nice music playing in the background.",4,1 Review,5/17/2019 22:46,0,
Beyond Flavours,Jaya Phaneendra,"Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!",5,"2 Reviews , 1 Follower",5/17/2019 22:17,0,
Beyond Flavours,Gokulnath Kunjumon,Papiya Shuvro was great. She helped us get the tables quickly and suggested us the best sizzlers in the menu. Ambience was awesome. She suggested the best table and was very helpful till we were there. Will visit again for the awesome service. You guys should try as well if u plan to take your loved one n give an osm experience then this is the place.,5,1 Review,5/17/2019 21:12,0,
Beyond Flavours,Raj Verma,"Quite good ambience,liked special restro biryani,must try,like the service Papiya and shuvro,they were really good at der service.will like to visit again.Its nice place to visit specially at nyt tym.food was yum.Should try biryani.",5,"1 Review , 13 Followers",5/17/2019 15:33,0,
Beyond Flavours,AKANKSHA GAIKWAD,Pradeep and shubroto were amazing and friendly. Service was awesome n food out of the world.must visit for all people out there. Will visit again,5,"1 Review , 40 Followers",5/17/2019 14:32,0,
Beyond Flavours,Divyakant,We visited this place for a colleagues farewell. We had a really great time.Good food and service by Pradeep and Shobro. Will come again later,5,"7 Reviews , 1 Follower",5/17/2019 14:30,0,
Beyond Flavours,Anisha Rajput,"The restaurant has an amazing ambience. Staff is polite and suggest good recommendations on food. If you visit Beyond Flavours sometime, do reach out to Papiya and Shuvro as she can suggest some really good dishes.",5,"2 Reviews , 1 Follower",5/16/2019 22:31,0,
Beyond Flavours,Chaitanya Patwari,Excellent food and service. Special mention for Papiya Shuvro. Surprised to see such good quality food being served at such low prices. Ambience is quite good too. Highly recommended.,5,"5 Reviews , 2 Followers",5/16/2019 21:56,0,
Beyond Flavours,Hasini1998,Papiya and Shuvro as the f&b executives were really courteous and friendly. Thoroughly enjoyed our experience here. Good place for a cute Lil date hehe and for a nice family dinner.,5,1 Review,5/16/2019 21:17,0,
Beyond Flavours,Catherene Clement,"This was the first time we visited this restaurant and the experience was good in terms of food, hospitality, service and ambience. Thanks to shubro and papiya for their hospitality",5,"1 Review , 16 Followers",5/16/2019 20:44,0,
Beyond Flavours,Dyagamrahul,"We went for lunch buffet yesterday and took a chance after seeing some good and some average reviews in Zomato.

The spread in buffet is too less, just 3 veg and 3 non veg starters, 2 main course in veg and non veg, just one fried rice and chicken Biryani.
Desserts are ice cream and jamun.

The taste was ok and not to expect too much. Little disappointing when starters are not hot.

Fish fry was decent, Schezwan chicken was ok.
Veg spring rolls were too good.
Big surprise for me is Onion rings as starters 🤣😂

Kadai ghost in main course was good but missing that masala flavour.
Chicken was ok. Biryani is average, egg fried rice was good.

For the money we pay, we expect some good food. They use much of colour in food item's.

Suggestion to management is use less coating and less food colouring in starters.

Overall experience is ok, but they can be much better for the amount you pay.",3,"25 Reviews , 24 Followers",5/16/2019 7:13,0,
Beyond Flavours,Malleshwari Seelam,The place is just beyond beautiful. Ambience is excellent and food is good. The service by Soumen Das is extremely good. Highly recommended place.,4,"3 Reviews , 12 Followers",5/15/2019 21:46,0,
Beyond Flavours,Vibhor Joshi,"I have been to beyond a few times and have tried out a lot of their dishes, it never disappoints.
I would specially recommend their soups, the healthy broth soup and the roasted chicken soup are amazing.
In addition the service is great and our server Papiya was very courteous and prompt. This place has become my go to place for a good dining experience.",5,"2 Reviews , 31 Followers",5/15/2019 21:09,0,
Beyond Flavours,Vikas Raikwar,If you have time to waste for taste u r most welcome ... the taste was really superb but the service was very very slow..! Dishes were impressively having different flavours which i liked..!,4,"4 Reviews , 2 Followers",5/15/2019 18:33,0,
Beyond Flavours,Snigdha Jidigam,The food here is good and would add on if you could increase your spread.Ananya was courteous and good at serving..!!Ambience was also good and was peaceful...........................!!!!!!!!!!♥️♥️♥️♥️♥️♥️♥️♥️♥️,5,"1 Review , 54 Followers",5/15/2019 15:18,0,
Beyond Flavours,Tatarao Vana,"Pardeep and shubrat has served great food and great ambience. Must try !!!

The food is awesome and ambience is too good. A great place to go with a team",5,"1 Review , 33 Followers",5/15/2019 15:07,0,
Beyond Flavours,Oblesh J,"One of the best restaurants in Hyderabad near Gachibowli.. ambiance was good.. Lunch spread was good and was very tasty.
Thank Papiya for her guidance.",5,2 Reviews,5/15/2019 15:02,0,
Beyond Flavours,Sharmistha Kamat,I really liked the food here it was different from what we get in every other restaurant ..really appreciate the service by Papiya..loved the presentation of the food..,5,"3 Reviews , 14 Followers",5/15/2019 14:49,0,
Beyond Flavours,Monika,Had a good food and good time at this place.. Ambience was really good and had a nice time... Thanks @shubro for assistance and guidance for having food..,4,"1 Review , 1 Follower",5/15/2019 14:18,0,
Beyond Flavours,Hemant Bissa,"Best place to hangout...😊
Food is really great...
Thanks Papiya for the service...😊
Staff was reallly co-operative...
Ambience is really great, especially PDR(Private Dining Room) is awesome...😍👌🏻",5,1 Review,5/15/2019 14:13,0,
Beyond Flavours,Tejaswi Rao,"we went for a team lunch, such a worst restaurant.. food was tasteless, service was very slow and Ac was not working. We’ve requested them multiple times but its of no use. Please don’t waste your money and I strictly recommend not to prefer beyond flavours,",1,"1 Review , 24 Followers",5/15/2019 3:26,0,
